resume_text,required_skills,cgpa,aptitude_score,college_tier,company_name
"Experienced in Continuous Learning, DevOps, Django, Cassandra, Google Cloud. Strengths include Leadership, Attention to Detail, Problem-solving.","Flask, Time Management, Go, Google Cloud, AWS",6.82,8,NIT,Oracle
"Experienced in Time Management, MySQL, Web Services, Azure, Cassandra. Strengths include Problem-solving, Leadership, Analytical Thinking.","Python, Go, Leadership, Collaboration, Cloud Architecture",9.22,4,NIT,Accenture
"Experienced in PHP, Analytical Thinking, Mentoring, RESTful APIs, Java. Strengths include Attention to Detail, Communication, Logical Thinking.","Django, Adaptability, Collaboration, Ruby, Oracle",9.92,4,NIT,Tata Consultancy Services (TCS)
"Experienced in Mentoring, Google Cloud, PostgreSQL, Time Management, JavaScript. Strengths include Communication, Continuous Learning, Adaptability.","Adaptability, Communication, Collaboration, Spring Boot, Ruby",7.47,8,SPPU,Tech Mahindra
"Experienced in Web Services, Spark, Adaptability, Leadership, Mentoring. Strengths include Time Management, Adaptability, Problem-solving.","TensorFlow, Communication, Continuous Learning, JavaScript, Java",7.48,7,SPPU,Oracle
"Experienced in Time Management, Cloud Computing, SQL, Ruby on Rails, Web Services. Strengths include Teamwork, Collaboration, Logical Thinking.","Java, AWS, React, Ruby on Rails, Python",6.84,7,Other,Infosys
"Experienced in Azure, DevOps, Node.js, MongoDB, Java. Strengths include Leadership, Continuous Learning, Problem-solving.","Web Services, DevOps, Go, TensorFlow, Communication",8.79,9,IIT,Tata Consultancy Services (TCS)
"Experienced in Cloud Computing, Spring Boot, Collaboration, Continuous Learning, Java. Strengths include Time Management, Analytical Thinking, Problem-solving.","Time Management, React, Attention to Detail, Communication, PostgreSQL",6.52,4,NIT,Oracle
"Experienced in PostgreSQL, Time Management, Python, Go, Communication. Strengths include Analytical Thinking, Leadership, Time Management.","Web Services, Cassandra, Problem-solving, Ruby, Time Management",9.02,8,IIT,Cybage Software Pvt Ltd
"Experienced in Go, Collaboration, Cassandra, NLP, Attention to Detail. Strengths include Teamwork, Analytical Thinking, Attention to Detail.","Oracle, Problem-solving, Logical Thinking, PHP, Adaptability",7.01,9,Mumbai University,Cybage Software Pvt Ltd
"Experienced in Spark, Logical Thinking, Django, Attention to Detail, NLP. Strengths include Leadership, Attention to Detail, Problem-solving.","Web Services, NLP, AWS, Python, Teamwork",7.72,8,Mumbai University,Deloitte
"Experienced in Time Management, Communication, Cloud Architecture, Django, Teamwork. Strengths include Teamwork, Continuous Learning, Collaboration.","Cloud Computing, DevOps, Mentoring, Cloud Architecture, Ruby",9.72,9,SPPU,Accenture
"Experienced in SQL, AWS, Analytical Thinking, RESTful APIs, Ruby on Rails. Strengths include Time Management, Problem-solving, Attention to Detail.","Spring Boot, Flask, Adaptability, Cloud Architecture, Web Services",7.23,7,SPPU,Deloitte
"Experienced in Cloud Computing, React, RESTful APIs, Continuous Learning, JavaScript. Strengths include Teamwork, Communication, Continuous Learning.","Go, PostgreSQL, Communication, AWS, Teamwork",7.75,7,NIT,Wipro
